<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.18	00:00:00	1.00810	1.00835	1.00810	1.00831	23	0	22
2022.07.18	00:15:00	1.00831	1.00831	1.00822	1.00824	17	0	46
2022.07.18	00:30:00	1.00824	1.00828	1.00798	1.00820	31	0	34
2022.07.18	00:45:00	1.00820	1.00820	1.00798	1.00799	16	0	45
2022.07.18	01:00:00	1.00799	1.00880	1.00786	1.00803	319	0	19
2022.07.18	01:15:00	1.00804	1.00814	1.00778	1.00788	175	0	18
2022.07.18	01:30:00	1.00789	1.00810	1.00780	1.00782	195	0	18
2022.07.18	01:45:00	1.00786	1.00846	1.00785	1.00839	307	0	17
2022.07.18	02:00:00	1.00838	1.00879	1.00792	1.00877	309	0	17
2022.07.18	02:15:00	1.00874	1.00925	1.00872	1.00920	248	0	16
2022.07.18	02:30:00	1.00918	1.00961	1.00915	1.00923	307	0	16
2022.07.18	02:45:00	1.00925	1.00972	1.00910	1.00964	414	0	16
2022.07.18	03:00:00	1.00965	1.00978	1.00903	1.00903	393	0	16
2022.07.18	03:15:00	1.00903	1.00952	1.00898	1.00936	328	0	16
2022.07.18	03:30:00	1.00934	1.00954	1.00880	1.00910	481	0	16
2022.07.18	03:45:00	1.00919	1.00932	1.00861	1.00909	520	0	16
2022.07.18	04:00:00	1.00911	1.00981	1.00909	1.00970	728	0	16
2022.07.18	04:15:00	1.00969	1.01099	1.00968	1.01078	640	0	16
2022.07.18	04:30:00	1.01079	1.01080	1.01033	1.01049	664	0	16
2022.07.18	04:45:00	1.01050	1.01105	1.01040	1.01079	555	0	16
2022.07.18	05:00:00	1.01075	1.01134	1.01057	1.01076	380	0	17
2022.07.18	05:15:00	1.01080	1.01096	1.01057	1.01058	272	0	16
2022.07.18	05:30:00	1.01057	1.01107	1.01057	1.01076	455	0	16
2022.07.18	05:45:00	1.01072	1.01079	1.01003	1.01007	381	0	16
2022.07.18	06:00:00	1.01009	1.01077	1.01007	1.01044	435	0	16
2022.07.18	06:15:00	1.01042	1.01094	1.01038	1.01068	451	0	16
2022.07.18	06:30:00	1.01067	1.01069	1.01021	1.01031	405	0	16
2022.07.18	06:45:00	1.01031	1.01049	1.01010	1.01036	373	0	17
2022.07.18	07:00:00	1.01037	1.01041	1.00971	1.00971	405	0	16
2022.07.18	07:15:00	1.00970	1.00972	1.00896	1.00904	426	0	16
2022.07.18	07:30:00	1.00903	1.00908	1.00873	1.00883	288	0	16
2022.07.18	07:45:00	1.00883	1.00906	1.00862	1.00906	341	0	16
2022.07.18	08:00:00	1.00908	1.00928	1.00877	1.00918	360	0	16
2022.07.18	08:15:00	1.00917	1.00944	1.00904	1.00943	441	0	16
2022.07.18	08:30:00	1.00937	1.01010	1.00930	1.01006	473	0	16
2022.07.18	08:45:00	1.01005	1.01048	1.00871	1.00872	596	0	16
2022.07.18	09:00:00	1.00872	1.00930	1.00805	1.00844	1313	0	16
2022.07.18	09:15:00	1.00845	1.00893	1.00807	1.00882	955	0	16
2022.07.18	09:30:00	1.00881	1.01041	1.00858	1.01028	1168	0	16
