<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.18	00:00:00	1.18659	1.18659	1.18610	1.18651	13	0	65
2022.07.18	00:15:00	1.18651	1.18651	1.18612	1.18645	12	0	65
2022.07.18	00:30:00	1.18645	1.18691	1.18612	1.18616	15	0	44
2022.07.18	00:45:00	1.18616	1.18624	1.18616	1.18624	14	0	65
2022.07.18	01:00:00	1.18612	1.18671	1.18612	1.18651	161	0	30
2022.07.18	01:15:00	1.18656	1.18658	1.18613	1.18628	433	0	26
2022.07.18	01:30:00	1.18628	1.18656	1.18626	1.18633	494	0	24
2022.07.18	01:45:00	1.18633	1.18722	1.18633	1.18720	655	0	22
2022.07.18	02:00:00	1.18724	1.18780	1.18669	1.18767	808	0	19
2022.07.18	02:15:00	1.18766	1.18813	1.18762	1.18799	780	0	19
2022.07.18	02:30:00	1.18798	1.18890	1.18774	1.18826	873	0	19
2022.07.18	02:45:00	1.18830	1.18895	1.18813	1.18885	941	0	19
2022.07.18	03:00:00	1.18885	1.18890	1.18790	1.18791	901	0	19
2022.07.18	03:15:00	1.18790	1.18861	1.18790	1.18822	1202	0	19
2022.07.18	03:30:00	1.18822	1.18845	1.18744	1.18763	1180	0	19
2022.07.18	03:45:00	1.18763	1.18828	1.18731	1.18816	1240	0	21
2022.07.18	04:00:00	1.18817	1.18936	1.18815	1.18926	1281	0	19
2022.07.18	04:15:00	1.18932	1.18998	1.18919	1.18962	1505	0	19
2022.07.18	04:30:00	1.18964	1.18989	1.18936	1.18956	1106	0	19
2022.07.18	04:45:00	1.18957	1.19042	1.18941	1.18991	946	0	19
2022.07.18	05:00:00	1.18989	1.19027	1.18960	1.18973	873	0	19
2022.07.18	05:15:00	1.18972	1.19008	1.18949	1.18957	765	0	19
2022.07.18	05:30:00	1.18956	1.19022	1.18956	1.18975	1256	0	19
2022.07.18	05:45:00	1.18974	1.18983	1.18943	1.18955	925	0	19
2022.07.18	06:00:00	1.18953	1.19041	1.18953	1.18997	1143	0	19
2022.07.18	06:15:00	1.18997	1.19058	1.18987	1.19020	1508	0	19
2022.07.18	06:30:00	1.19020	1.19022	1.18961	1.19005	1056	0	19
2022.07.18	06:45:00	1.19006	1.19006	1.18950	1.18971	865	0	20
2022.07.18	07:00:00	1.18973	1.18984	1.18909	1.18909	906	0	19
2022.07.18	07:15:00	1.18910	1.18919	1.18834	1.18853	915	0	19
2022.07.18	07:30:00	1.18854	1.18863	1.18803	1.18817	449	0	19
2022.07.18	07:45:00	1.18818	1.18857	1.18805	1.18852	493	0	19
2022.07.18	08:00:00	1.18852	1.18874	1.18802	1.18847	555	0	19
2022.07.18	08:15:00	1.18847	1.18926	1.18837	1.18923	822	0	19
2022.07.18	08:30:00	1.18922	1.19019	1.18908	1.19014	1084	0	19
2022.07.18	08:45:00	1.19013	1.19065	1.18916	1.18924	1076	0	19
2022.07.18	09:00:00	1.18925	1.18975	1.18811	1.18833	1635	0	19
